QueryID,ResponseID,QueryName,ResponseName,ReleaseDate,Metacritic,RecommendationCount,ScreenshotCount,SteamSpyOwners,AchievementCount, PriceInitial 
296570,296570,Lords of Xulima,Lords of Xulima,Nov 14 2014,71,675,18,43223,15,19.99
296630,296630,Kraven Manor,Kraven Manor,Sep 26 2014,58,275,12,172893,11,5.99
296830,296830,Lucius II,Lucius II,Feb 13 2015,48,683,12,95414,65,19.99
297000,297000,Heroes of Might & Magic III - HD Edition,Heroes(r) of Might & Magic(r) III - HD Edition,Jan 28 2015,65,2954,13,448553,13,14.99
297060,297060,Freaking Meatbags,Freaking Meatbags,Feb 4 2015,69,113,13,33897,0,9.99
297120,297120,Heavy Bullets,Heavy Bullets,Sep 18 2014,72,824,11,106175,17,9.99
297130,297130,Titan Souls,Titan Souls,Apr 14 2015,74,2038,9,369998,27,14.99
297350,297350,The Old City: Leviathan,The Old City: Leviathan,Dec 3 2014,62,471,9,37663,0,5.99
297720,297720,Corpse of Discovery,Corpse of Discovery,Aug 25 2015,49,138,10,12554,0,7.99
297760,297760,Qvadriga,Qvadriga,Jun 13 2014,72,159,12,25109,0,19.99
297860,297860,Split/Second,Split/Second,Oct 6 2014,79,399,5,34076,0,19.99
297920,297920,Space Colony,Space Colony: Steam Edition,Apr 30 2015,74,140,12,37305,26,14.99
298030,298030,Total Annihilation,Total Annihilation,Dec 18 2015,86,636,7,72457,0,4.99
298050,298050,Master of Orion,Master of Orion,Aug 25 2016,74,2104,15,143480,102,29.99
298110,298110,Far Cry 4,Far Cry(r) 4,14-Nov,80,11878,5,813709,0,39.99
298260,298260,Only If,Only If,Jul 25 2014,39,5511,9,1230518,10,0
298520,298520,Orbital Gear,Orbital Gear,Aug 7 2014,59,1374,16,274226,12,9.99
298600,298600,Lovely Planet,Lovely Planet,Jul 31 2014,61,1843,6,261671,14,5.99
298630,298630,The Escapists,The Escapists,Feb 13 2015,71,9920,12,900694,37,17.99
299030,299030,Blood: One Unit Whole Blood,Blood: One Unit Whole Blood,Jul 14 2014,82,563,5,35870,0,4.99
299050,299050,Blood II: The Chosen + Expansion,Blood II: The Chosen + Expansion,Jul 14 2014,72,139,5,17397,0,4.99
299360,299360,Block N Load,Block N Load,Apr 30 2015,72,9150,7,2169951,64,0
299480,299480,Rogue Stormers,Rogue Stormers,Apr 21 2016,68,377,11,31386,44,19.99
299680,299680,Tengami,Tengami,Jan 15 2015,57,905,6,56674,4,9.99
300060,300060,ADR1FT,ADR1FT,Mar 28 2016,63,606,10,122137,22,19.99
300340,300340,Lemma,Lemma,May 12 2015,73,196,7,24033,13,14.99
300550,300550,Shadowrun: Dragonfall - Director's Cut,Shadowrun: Dragonfall - Directors Cut,Sep 18 2014,87,2557,7,663414,39,14.99
300580,300580,GALAK-Z,GALAK-Z,Oct 29 2015,78,302,12,201410,35,9.99
300610,300610,Pure Pool,Pure Pool,Jul 31 2014,68,184,11,9864,51,12.99
301560,301560,White Night,White Night,Mar 3 2015,68,173,10,19011,33,14.99
301640,301640,Zombie Army Trilogy,Zombie Army Trilogy,Mar 6 2015,72,3962,20,433847,68,44.99
301650,301650,Battlezone 98 Redux,Battlezone 98 Redux,Apr 18 2016,75,316,11,23315,50,19.99
301910,301910,Saints Row: Gat out of Hell,Saints Row: Gat out of Hell,Jan 20 2015,66,4481,10,488010,45,14.99
301970,301970,Screencheat,Screencheat,Oct 21 2014,71,739,10,202306,34,14.99
302010,302010,The Blue Flamingo,The Blue Flamingo,Nov 18 2014,55,421,6,117653,0,4.99
302080,302080,Bus Driver,Bus Driver,Jun 3 2014,61,712,8,293775,0,9.99
302510,302510,Ryse: Son of Rome,Ryse: Son of Rome,Oct 10 2014,61,9524,5,699643,73,19.99
302710,302710,BlazeRush,BlazeRush,Oct 28 2014,66,724,9,75506,21,9.99
303430,303430,Roundabout,Roundabout,Sep 18 2014,75,323,6,38381,40,9.99
303550,303550,Adventures of Pip,Adventures of Pip,Jun 4 2015,72,127,8,19370,20,14.99
303800,303800,The Witcher Adventure Game,The Witcher Adventure Game,Nov 27 2014,68,439,19,123034,37,9.99
304030,304030,ArcheAge,ArcheAge,Mar 26 2015,80,3906,29,1111071,0,0
304240,304240,Resident Evil / biohazard HD REMASTER,Resident Evil / biohazard HD REMASTER,Jan 19 2015,82,4024,8,266513,44,19.99
304430,304430,INSIDE,INSIDE,Jul 7 2016,88,5625,9,220779,14,19.99
304460,304460,Qora,Qora,Oct 2 2014,63,252,6,36229,40,9.99
304650,304650,Sunless Sea,SUNLESS SEA,Feb 6 2015,81,3120,8,416988,30,18.99
304730,304730,Train Fever,Train Fever,Sep 4 2014,67,2326,5,160877,39,29.99
305050,305050,Outland,Outland,Sep 29 2014,83,815,10,258084,12,9.99
305380,305380,Blue Estate,Blue Estate The Game,Apr 8 2015,59,624,5,46452,27,12.99
306550,306550,Runers,Runers,Sep 2 2014,68,200,6,23315,50,9.99
306660,306660,Ultimate General: Gettysburg,Ultimate General: Gettysburg,Oct 16 2014,84,1922,19,298617,3,14.99
306760,306760,Obduction,Obduction (r),Aug 24 2016,78,774,5,58647,15,29.99
307230,307230,"I, Zombie",I Zombie,Dec 8 2014,65,1446,10,132181,13,1.99
307570,307570,A Golden Wake,A Golden Wake,Oct 9 2014,68,124,10,19011,18,9.99
307580,307580,Technobabylon,Technobabylon,15-May,82,318,13,99539,40,14.99
307590,307590,Penarium,Penarium,Sep 22 2015,80,181,14,75506,24,9.99
307670,307670,Hard West,Hard West,Nov 18 2015,73,905,7,84115,35,19.99
307780,307780,Mortal Kombat X,Mortal Kombat X,Apr 13 2015,76,15561,16,690137,73,29.99
307960,307960,IL-2 Sturmovik: Battle of Stalingrad,IL-2 Sturmovik: Battle of Stalingrad,Oct 22 2014,74,752,29,48066,0,49.99
308040,308040,Back to Bed,Back to Bed,Aug 6 2014,57,356,5,85191,20,5.99
308270,308270,Buzz Aldrin's Space Program Manager,Buzz Aldrins Space Program Manager,Oct 31 2014,62,239,54,12554,19,29.99
308420,308420,Ziggurat,Ziggurat,Oct 23 2014,76,1990,26,150295,38,14.99
310080,310080,Hatoful Boyfriend,Hatoful Boyfriend,Sep 4 2014,68,4183,11,262926,16,9.99
310470,310470,Grand Ages: Medieval,Grand Ages: Medieval,Sep 25 2015,63,1268,13,62414,50,29.99
310490,310490,Crookz - The Big Heist,Crookz - The Big Heist,Aug 25 2015,74,103,14,14527,30,19.99
310510,310510,Deathtrap,Deathtrap,Feb 4 2015,77,761,6,117653,47,19.99
310560,310560,DiRT Rally,DiRT Rally,Dec 7 2015,86,9349,62,402640,170,59.99
310740,310740,NEON STRUCT,NEON STRUCT,May 20 2015,62,128,6,46272,25,17.99
310950,310950,Street Fighter V,Street Fighter V,Feb 15 2016,74,6575,53,219165,45,59.99
311010,311010,The Way,The Way,May 20 2016,66,215,18,6277,29,14.99
